keyword,search_volume,difficulty,cpc,intent,mapped_blog_slugs,cluster,notes
silla ergonómica calidad precio,0,,commercial_investigation,mejor-silla-ergonomica-calidad-precio,,Primary keyword — KW Surfer 0 (tráfico via "mejor silla ergonómica" 480)
mejor silla teletrabajo,0,,commercial_investigation,mejor-silla-ergonomica-calidad-precio,,Búsqueda relacionada Google — KW Surfer 0
mejor silla oficina calidad precio,140,,commercial_investigation,mejor-silla-ergonomica-calidad-precio,,Otras personas buscan — KW Surfer 2026-04
mejor silla ergonómica,480,,commercial_investigation,mejor-silla-ergonomica-calidad-precio,,Otras personas buscan — KW Surfer 2026-04
silla oficina barata y buena,0,,commercial_investigation,mejor-silla-ergonomica-calidad-precio,,Secondary keyword — KW Surfer 0
setup home office,170,,informational,mi-setup-home-office-2026,,Primary keyword — KW Surfer 170
ergonomía teletrabajo postura correcta,0,,informational,ergonomia-teletrabajo-postura-correcta,,Primary keyword — KW Surfer 0
postura correcta escritorio,0,,informational,ergonomia-teletrabajo-postura-correcta,,Secondary keyword — KW Surfer 0
dolor espalda teletrabajo,0,,informational,ergonomia-teletrabajo-postura-correcta,,Secondary keyword — KW Surfer 0
higiene postural home office,0,,informational,ergonomia-teletrabajo-postura-correcta,,Secondary keyword — KW Surfer 0 (base "higiene postural" 1600)
INSST teletrabajo,,,informational,,,Búsqueda relacionada Google — institucional
dolor de espalda trabajar en casa,0,,informational,dolor-espalda-trabajar-casa,,Primary keyword — KW Surfer 0 (SERP médico; tráfico via "dolor espalda baja" 5400)
dolor lumbar teletrabajo,0,,informational,dolor-espalda-trabajar-casa,,Secondary keyword — KW Surfer 0
dolor cervical home office,0,,informational,dolor-espalda-trabajar-casa,,Secondary keyword — KW Surfer 0
causas dolor espalda sentado,0,,informational,dolor-espalda-trabajar-casa,,Secondary keyword — KW Surfer 0
riesgos del teletrabajo,,,informational,,,Búsqueda relacionada Google — no mapeado aún
mejor escritorio elevable eléctrico,0,,commercial_investigation,mejor-escritorio-elevable-electrico,,Primary keyword — KW Surfer 0 pero rankea via "escritorio elevable eléctrico" (1000)
standing desk eléctrico,0,,commercial_investigation,mejor-escritorio-elevable-electrico,,Secondary keyword — KW Surfer 0
escritorio elevable eléctrico,1000,,commercial_investigation,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google — KW Surfer 2026-04
mejores escritorios elevables,260,,commercial_investigation,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google — KW Surfer 2026-04
escritorio ajustable altura,140,,commercial_investigation,mejor-escritorio-elevable-electrico,,Secondary keyword — KW Surfer 2026-04
mesa elevable eléctrica,720,,commercial_investigation,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google — KW Surfer 2026-04
escritorio elevable calidad precio,0,,commercial_investigation,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google — KW Surfer 0
FlexiSpot,,,navigational,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google — marca líder
ErGear escritorio elevable,,,commercial_investigation,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google
escritorio elevable Amazon,210,,commercial_investigation,mejor-escritorio-elevable-electrico,,Búsqueda relacionada Google — KW Surfer 2026-04
mejor monitor para trabajar desde casa,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Primary keyword — KW Surfer 0
monitor para trabajar desde casa,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Secondary keyword — KW Surfer 0
mejor monitor 27 pulgadas para trabajar,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Búsqueda relacionada Google — KW Surfer 0
monitor para trabajar 24 o 27,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Búsqueda relacionada Google — KW Surfer 0
mejor monitor calidad precio para trabajar,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Búsqueda relacionada Google — KW Surfer 0
mejores monitores teletrabajo,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Búsqueda relacionada Google — KW Surfer 0
monitor 4K USB-C home office,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Secondary keyword — KW Surfer 0
que monitor comprar para trabajar,0,,commercial_investigation,mejor-monitor-trabajar-desde-casa,,Búsqueda relacionada Google — KW Surfer 0
mejor tamaño monitor para trabajar,0,,informational,mejor-monitor-trabajar-desde-casa,,Búsqueda relacionada Google — KW Surfer 0
montar home office productivo 500 euros,0,,informational,home-office-productivo-500-euros,,Primary keyword — KW Surfer 0
home office barato,0,,informational,home-office-productivo-500-euros,,Secondary — KW Surfer 0 (SERP contaminado por Microsoft Office)
setup teletrabajo económico,0,,informational,home-office-productivo-500-euros,,Secondary keyword — KW Surfer 0
montar oficina en casa,0,,informational,home-office-productivo-500-euros,,Secondary keyword — KW Surfer 0 (head 'oficina en casa' 880)
presupuesto home office,0,,informational,home-office-productivo-500-euros,,Secondary keyword — KW Surfer 0
productividad en casa entorno físico,0,,informational,productividad-en-casa-entorno-fisico,,Primary keyword — KW Surfer 0
mejor teclado ergonómico,0,,commercial_investigation,mejor-teclado-ergonomico,,Primary keyword — KW Surfer 0 (tráfico via "teclado ergonómico" 1900)
teclado ergonómico teletrabajo,0,,commercial_investigation,mejor-teclado-ergonomico,,Secondary keyword — KW Surfer 0
mejor teclado para trabajar desde casa,0,,commercial_investigation,mejor-teclado-ergonomico,,Secondary keyword — KW Surfer 0
teclado split ergonómico,0,,commercial_investigation,mejor-teclado-ergonomico,,Secondary keyword — KW Surfer 0
teclado inalámbrico ergonómico,0,,commercial_investigation,mejor-teclado-ergonomico,,Búsqueda relacionada Google — KW Surfer 0
Logitech Ergo K860,,,navigational,mejor-teclado-ergonomico,,Búsqueda relacionada Google — producto más buscado
teclado ergonómico Logitech,,,commercial_investigation,mejor-teclado-ergonomico,,Búsqueda relacionada Google
mejores teclados para trabajar,110,,commercial_investigation,mejor-teclado-ergonomico,,Búsqueda relacionada Google — KW Surfer 2026-04
túnel carpiano teletrabajo,0,,informational,tunel-carpiano-teletrabajo-prevencion,,Primary keyword — KW Surfer 0 (head "sindrome tunel carpiano" 27100)
prevención túnel carpiano,0,,informational,tunel-carpiano-teletrabajo-prevencion,,Secondary keyword — KW Surfer 0
dolor muñecas trabajar ordenador,0,,informational,tunel-carpiano-teletrabajo-prevencion,,Secondary keyword — KW Surfer 0
síndrome túnel carpiano prevención,0,,informational,tunel-carpiano-teletrabajo-prevencion,,Secondary keyword — KW Surfer 0
ergonomía muñecas home office,0,,informational,tunel-carpiano-teletrabajo-prevencion,,Secondary keyword — KW Surfer 0
mejor ratón vertical ergonómico,0,,commercial_investigation,mejor-raton-vertical-ergonomico,,Primary keyword — KW Surfer 0 (tráfico via "ratón ergonómico" 6600 y "ratón vertical" 3600)
ratón vertical teletrabajo,0,,commercial_investigation,mejor-raton-vertical-ergonomico,,Secondary keyword — KW Surfer 0
ratón ergonómico inalámbrico,590,,commercial_investigation,mejor-raton-vertical-ergonomico,,Búsqueda relacionada Google — KW Surfer 2026-04
Logitech MX Vertical,,,navigational,mejor-raton-vertical-ergonomico,,Búsqueda relacionada Google — producto más buscado
ratón vertical túnel carpiano,0,,commercial_investigation,mejor-raton-vertical-ergonomico,,Búsqueda relacionada Google — KW Surfer 0
